32, 0, 0
11, 0, 0
11, 0, 0
06, 0, 0
06, 0, 0
06, 0, 0
06, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
02, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
01, 0, 0
90, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
05, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
03, 0, 0
15, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
17, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
34, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
37, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
45, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
85, 0, 0
